use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct,param_profile
UC2,std,DB1,512,1,setup,240.728,75429136,0,0,false,full
UC2,std,DB1,512,1,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,1,encrypt,12.760,7139144,0,0,false,full
UC2,std,DB1,512,1,eval,73.704,35507048,0,0,false,full
UC2,std,DB1,512,1,decrypt,3.738,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,1,setup,232.228,54810400,0,0,false,full
UC2,std_modsw,DB1,512,1,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,1,encrypt,13.418,7139128,0,0,false,full
UC2,std_modsw,DB1,512,1,eval,73.914,35507048,0,0,false,full
UC2,std_modsw,DB1,512,1,decrypt,6.466,25997000,1048576,1,true,full
UC2,label,DB1,512,1,setup,233.838,70309792,0,0,false,full
UC2,label,DB1,512,1,precomp,0.001,0,0,0,false,full
UC2,label,DB1,512,1,encrypt,14.475,12598416,0,0,false,full
UC2,label,DB1,512,1,eval,91.255,61980784,0,0,false,full
UC2,label,DB1,512,1,decrypt,3.683,4469280,1048576,1,true,full
UC2,std,DB1,512,2,setup,230.549,68465888,0,0,false,full
UC2,std,DB1,512,2,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,2,encrypt,12.466,7139128,0,0,false,full
UC2,std,DB1,512,2,eval,75.317,35507048,0,0,false,full
UC2,std,DB1,512,2,decrypt,5.113,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,2,setup,233.975,68465888,0,0,false,full
UC2,std_modsw,DB1,512,2,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,2,encrypt,13.477,7139128,0,0,false,full
UC2,std_modsw,DB1,512,2,eval,74.903,35507048,0,0,false,full
UC2,std_modsw,DB1,512,2,decrypt,6.306,25997112,1048576,1,true,full
UC2,label,DB1,512,2,setup,234.227,70039696,0,0,false,full
UC2,label,DB1,512,2,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,2,encrypt,15.413,12598544,0,0,false,full
UC2,label,DB1,512,2,eval,99.393,20871576,0,0,false,full
UC2,label,DB1,512,2,decrypt,3.189,4469280,1048576,1,true,full
UC2,std,DB1,512,3,setup,233.197,75292672,0,0,false,full
UC2,std,DB1,512,3,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,3,encrypt,12.548,7139128,0,0,false,full
UC2,std,DB1,512,3,eval,73.419,35507048,0,0,false,full
UC2,std,DB1,512,3,decrypt,5.827,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,3,setup,235.778,68466000,0,0,false,full
UC2,std_modsw,DB1,512,3,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,3,encrypt,12.545,7139128,0,0,false,full
UC2,std_modsw,DB1,512,3,eval,72.596,35507048,0,0,false,full
UC2,std_modsw,DB1,512,3,decrypt,5.766,25996984,1048576,1,true,full
UC2,label,DB1,512,3,setup,232.400,75556952,0,0,false,full
UC2,label,DB1,512,3,precomp,0.000,0,0,0,false,full
UC2,label,DB1,512,3,encrypt,14.467,12598176,0,0,false,full
UC2,label,DB1,512,3,eval,96.370,20872120,0,0,false,full
UC2,label,DB1,512,3,decrypt,3.159,4469280,1048576,1,true,full
UC2,std,DB1,512,4,setup,239.209,75298248,0,0,false,full
UC2,std,DB1,512,4,precomp,0.000,0,0,0,false,full
UC2,std,DB1,512,4,encrypt,13.639,7139128,0,0,false,full
UC2,std,DB1,512,4,eval,74.564,35507048,0,0,false,full
UC2,std,DB1,512,4,decrypt,3.804,1186384,2097152,1,true,full
UC2,std_modsw,DB1,512,4,setup,231.117,70569008,0,0,false,full
UC2,std_modsw,DB1,512,4,precomp,0.000,0,0,0,false,full
UC2,std_modsw,DB1,512,4,encrypt,13.021,7139128,0,0,false,full
