use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct,param_profile
UC3,std,DB1,512,1,setup,234.621,73716432,0,0,false,full
UC3,std,DB1,512,1,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,1,encrypt,13.372,7139144,0,0,false,full
UC3,std,DB1,512,1,eval,268.924,52191496,0,0,false,full
UC3,std,DB1,512,1,decrypt,8.194,4860792,4194304,1,true,full
UC3,std_modsw,DB1,512,1,setup,229.543,70039840,0,0,false,full
UC3,std_modsw,DB1,512,1,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,1,encrypt,13.099,7139128,0,0,false,full
UC3,std_modsw,DB1,512,1,eval,267.767,52191400,0,0,false,full
UC3,std_modsw,DB1,512,1,decrypt,13.567,6046728,2097152,1,true,full
UC3,label,DB1,512,1,setup,229.873,59803920,0,0,false,full
UC3,label,DB1,512,1,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,1,encrypt,15.632,12598400,0,0,false,full
UC3,label,DB1,512,1,eval,331.976,41891344,0,0,false,full
UC3,label,DB1,512,1,decrypt,6.583,1318440,2097152,1,true,full
UC3,std,DB1,512,2,setup,233.370,75298472,0,0,false,full
UC3,std,DB1,512,2,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,2,encrypt,12.416,7139128,0,0,false,full
UC3,std,DB1,512,2,eval,268.742,53244936,0,0,false,full
UC3,std,DB1,512,2,decrypt,9.882,-2226256,4194304,1,true,full
UC3,std_modsw,DB1,512,2,setup,233.212,68465664,0,0,false,full
UC3,std_modsw,DB1,512,2,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,2,encrypt,12.789,7139128,0,0,false,full
UC3,std_modsw,DB1,512,2,eval,268.267,53244984,0,0,false,full
UC3,std_modsw,DB1,512,2,decrypt,11.905,-2488656,2097152,1,true,full
UC3,label,DB1,512,2,setup,240.557,75292720,0,0,false,full
UC3,label,DB1,512,2,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,2,encrypt,15.163,12598512,0,0,false,full
UC3,label,DB1,512,2,eval,337.804,62651944,0,0,false,full
UC3,label,DB1,512,2,decrypt,7.439,2238032,2097152,1,true,full
UC3,std,DB1,512,3,setup,239.645,75557304,0,0,false,full
UC3,std,DB1,512,3,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,3,encrypt,12.793,7139128,0,0,false,full
UC3,std,DB1,512,3,eval,276.660,55352104,0,0,false,full
UC3,std,DB1,512,3,decrypt,7.819,6309192,4194304,1,true,full
UC3,std_modsw,DB1,512,3,setup,231.954,75556840,0,0,false,full
UC3,std_modsw,DB1,512,3,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,3,encrypt,13.159,7139128,0,0,false,full
UC3,std_modsw,DB1,512,3,eval,270.426,52191624,0,0,false,full
UC3,std_modsw,DB1,512,3,decrypt,12.471,27957696,2097152,1,true,full
UC3,label,DB1,512,3,setup,236.141,70304456,0,0,false,full
UC3,label,DB1,512,3,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,3,encrypt,14.409,12598288,0,0,false,full
UC3,label,DB1,512,3,eval,333.124,83015432,0,0,false,full
UC3,label,DB1,512,3,decrypt,6.425,921208,2097152,1,true,full
UC3,std,DB1,512,4,setup,242.102,73718528,0,0,false,full
UC3,std,DB1,512,4,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,4,encrypt,13.040,7139128,0,0,false,full
UC3,std,DB1,512,4,eval,271.531,55352104,0,0,false,full
UC3,std,DB1,512,4,decrypt,8.494,4860792,4194304,1,true,full
UC3,std_modsw,DB1,512,4,setup,227.380,65319072,0,0,false,full
UC3,std_modsw,DB1,512,4,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,4,encrypt,12.561,7139128,0,0,false,full
UC3,std_modsw,DB1,512,4,eval,268.644,53244984,0,0,false,full
UC3,std_modsw,DB1,512,4,decrypt,12.979,-649824,2097152,1,true,full
UC3,label,DB1,512,4,setup,239.023,75557448,0,0,false,full
UC3,label,DB1,512,4,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,4,encrypt,15.243,12598384,0,0,false,full
UC3,label,DB1,512,4,eval,338.626,41891824,0,0,false,full
UC3,label,DB1,512,4,decrypt,6.766,3813592,2097152,1,true,full
UC3,std,DB1,512,5,setup,239.275,75292832,0,0,false,full
UC3,std,DB1,512,5,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,5,encrypt,13.966,7139128,0,0,false,full
UC3,std,DB1,512,5,eval,269.708,52191448,0,0,false,full
UC3,std,DB1,512,5,decrypt,9.318,-2226432,4194304,1,true,full
UC3,std_modsw,DB1,512,5,setup,234.053,75292464,0,0,false,full
UC3,std_modsw,DB1,512,5,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,5,encrypt,13.270,7139128,0,0,false,full
UC3,std_modsw,DB1,512,5,eval,270.279,52191400,0,0,false,full
UC3,std_modsw,DB1,512,5,decrypt,12.178,8147488,2097152,1,true,full
UC3,label,DB1,512,5,setup,236.925,68465664,0,0,false,full
UC3,label,DB1,512,5,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,5,encrypt,14.339,12598288,0,0,false,full
UC3,label,DB1,512,5,eval,344.999,21527920,0,0,false,full
UC3,label,DB1,512,5,decrypt,7.434,920984,2097152,1,true,full
UC3,std,DB1,512,6,setup,236.583,75557192,0,0,false,full
UC3,std,DB1,512,6,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,6,encrypt,13.002,7139128,0,0,false,full
UC3,std,DB1,512,6,eval,277.792,54298632,0,0,false,full
UC3,std,DB1,512,6,decrypt,9.729,-2226432,4194304,1,true,full
UC3,std_modsw,DB1,512,6,setup,231.280,59534240,0,0,false,full
UC3,std_modsw,DB1,512,6,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,6,encrypt,12.838,7139128,0,0,false,full
UC3,std_modsw,DB1,512,6,eval,267.764,52191448,0,0,false,full
UC3,std_modsw,DB1,512,6,decrypt,14.242,-649136,2097152,1,true,full
UC3,label,DB1,512,6,setup,234.770,68465664,0,0,false,full
UC3,label,DB1,512,6,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,6,encrypt,14.428,12598528,0,0,false,full
UC3,label,DB1,512,6,eval,343.153,26684760,0,0,false,full
UC3,label,DB1,512,6,decrypt,6.228,920984,2097152,1,true,full
UC3,std,DB1,512,7,setup,231.829,68465776,0,0,false,full
UC3,std,DB1,512,7,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,7,encrypt,12.598,7139128,0,0,false,full
UC3,std,DB1,512,7,eval,268.788,54298568,0,0,false,full
UC3,std,DB1,512,7,decrypt,7.629,6306136,4194304,1,true,full
UC3,std_modsw,DB1,512,7,setup,236.362,70039808,0,0,false,full
UC3,std_modsw,DB1,512,7,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,7,encrypt,13.384,7139128,0,0,false,full
UC3,std_modsw,DB1,512,7,eval,267.611,52191448,0,0,false,full
UC3,std_modsw,DB1,512,7,decrypt,14.037,-2488880,2097152,1,true,full
UC3,label,DB1,512,7,setup,235.319,59798840,0,0,false,full
UC3,label,DB1,512,7,precomp,0.001,0,0,0,false,full
UC3,label,DB1,512,7,encrypt,16.444,12598736,0,0,false,full
UC3,label,DB1,512,7,eval,336.481,21527392,0,0,false,full
UC3,label,DB1,512,7,decrypt,5.961,920984,2097152,1,true,full
UC3,std,DB1,512,8,setup,235.775,75557416,0,0,false,full
UC3,std,DB1,512,8,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,8,encrypt,12.823,7139128,0,0,false,full
UC3,std,DB1,512,8,eval,278.933,54298568,0,0,false,full
UC3,std,DB1,512,8,decrypt,9.180,4860792,4194304,1,true,full
UC3,std_modsw,DB1,512,8,setup,231.731,75821728,0,0,false,full
UC3,std_modsw,DB1,512,8,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,8,encrypt,12.590,7139128,0,0,false,full
UC3,std_modsw,DB1,512,8,eval,272.239,52191448,0,0,false,full
UC3,std_modsw,DB1,512,8,decrypt,13.179,6046824,2097152,1,true,full
UC3,label,DB1,512,8,setup,233.104,65319072,0,0,false,full
UC3,label,DB1,512,8,precomp,0.001,0,0,0,false,full
UC3,label,DB1,512,8,encrypt,16.067,12598448,0,0,false,full
UC3,label,DB1,512,8,eval,344.868,21527264,0,0,false,full
UC3,label,DB1,512,8,decrypt,6.200,3813592,2097152,1,true,full
UC3,std,DB1,512,9,setup,230.844,57960048,0,0,false,full
UC3,std,DB1,512,9,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,9,encrypt,13.966,7139128,0,0,false,full
UC3,std,DB1,512,9,eval,269.104,52191448,0,0,false,full
UC3,std,DB1,512,9,decrypt,8.027,4860904,4194304,1,true,full
UC3,std_modsw,DB1,512,9,setup,234.998,54281104,0,0,false,full
UC3,std_modsw,DB1,512,9,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,9,encrypt,12.805,7139128,0,0,false,full
UC3,std_modsw,DB1,512,9,eval,268.517,52191624,0,0,false,full
UC3,std_modsw,DB1,512,9,decrypt,13.574,-2488880,2097152,1,true,full
UC3,label,DB1,512,9,setup,235.707,75557416,0,0,false,full
UC3,label,DB1,512,9,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,9,encrypt,16.703,12598352,0,0,false,full
UC3,label,DB1,512,9,eval,333.208,41891504,0,0,false,full
UC3,label,DB1,512,9,decrypt,6.342,920984,2097152,1,true,full
UC3,std,DB1,512,10,setup,234.173,70571936,0,0,false,full
UC3,std,DB1,512,10,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,10,encrypt,12.905,7139128,0,0,false,full
UC3,std,DB1,512,10,eval,277.027,53244984,0,0,false,full
UC3,std,DB1,512,10,decrypt,8.071,4860792,4194304,1,true,full
UC3,std_modsw,DB1,512,10,setup,231.094,68465776,0,0,false,full
UC3,std_modsw,DB1,512,10,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,10,encrypt,12.605,7139128,0,0,false,full
UC3,std_modsw,DB1,512,10,eval,267.627,53244952,0,0,false,full
UC3,std_modsw,DB1,512,10,decrypt,13.054,4211128,2097152,1,true,full
UC3,label,DB1,512,10,setup,240.348,54545176,0,0,false,full
UC3,label,DB1,512,10,precomp,0.001,0,0,0,false,full
UC3,label,DB1,512,10,encrypt,16.332,12598288,0,0,false,full
UC3,label,DB1,512,10,eval,341.727,21528032,0,0,false,full
UC3,label,DB1,512,10,decrypt,6.419,7224744,2097152,1,true,full
UC3,std,DB1,512,11,setup,237.177,70304088,0,0,false,full
UC3,std,DB1,512,11,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,11,encrypt,12.842,7139128,0,0,false,full
UC3,std,DB1,512,11,eval,271.630,54298568,0,0,false,full
UC3,std,DB1,512,11,decrypt,8.259,4860792,4194304,1,true,full
UC3,std_modsw,DB1,512,11,setup,239.565,75557672,0,0,false,full
UC3,std_modsw,DB1,512,11,precomp,0.001,0,0,0,false,full
UC3,std_modsw,DB1,512,11,encrypt,13.423,7139128,0,0,false,full
UC3,std_modsw,DB1,512,11,eval,269.610,52191448,0,0,false,full
UC3,std_modsw,DB1,512,11,decrypt,13.760,6047368,2097152,1,true,full
UC3,label,DB1,512,11,setup,237.699,75425784,0,0,false,full
UC3,label,DB1,512,11,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,11,encrypt,14.299,12598432,0,0,false,full
UC3,label,DB1,512,11,eval,340.632,21527600,0,0,false,full
UC3,label,DB1,512,11,decrypt,6.655,7224744,2097152,1,true,full
UC3,std,DB1,512,12,setup,230.332,70040032,0,0,false,full
UC3,std,DB1,512,12,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,12,encrypt,12.761,7139128,0,0,false,full
UC3,std,DB1,512,12,eval,270.488,52191448,0,0,false,full
UC3,std,DB1,512,12,decrypt,7.750,137456,4194304,1,true,full
UC3,std_modsw,DB1,512,12,setup,230.817,65319184,0,0,false,full
UC3,std_modsw,DB1,512,12,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,12,encrypt,13.212,7139128,0,0,false,full
UC3,std_modsw,DB1,512,12,eval,268.873,53244984,0,0,false,full
UC3,std_modsw,DB1,512,12,decrypt,12.743,6572344,2097152,1,true,full
UC3,label,DB1,512,12,setup,235.437,70178384,0,0,false,full
UC3,label,DB1,512,12,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,12,encrypt,14.405,12598384,0,0,false,full
UC3,label,DB1,512,12,eval,333.806,83015960,0,0,false,full
UC3,label,DB1,512,12,decrypt,6.602,921096,2097152,1,true,full
UC3,std,DB1,512,13,setup,242.869,54281264,0,0,false,full
UC3,std,DB1,512,13,precomp,0.000,0,0,0,false,full
UC3,std,DB1,512,13,encrypt,12.867,7139128,0,0,false,full
UC3,std,DB1,512,13,eval,269.277,52191496,0,0,false,full
UC3,std,DB1,512,13,decrypt,10.162,-2226432,4194304,1,true,full
UC3,std_modsw,DB1,512,13,setup,237.989,70303880,0,0,false,full
UC3,std_modsw,DB1,512,13,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,13,encrypt,12.701,7139128,0,0,false,full
UC3,std_modsw,DB1,512,13,eval,268.205,52191448,0,0,false,full
UC3,std_modsw,DB1,512,13,decrypt,12.154,29007376,2097152,1,true,full
UC3,label,DB1,512,13,setup,231.777,68465776,0,0,false,full
UC3,label,DB1,512,13,precomp,0.000,0,0,0,false,full
UC3,label,DB1,512,13,encrypt,14.330,12598368,0,0,false,full
UC3,label,DB1,512,13,eval,351.623,62651512,0,0,false,full
UC3,label,DB1,512,13,decrypt,8.464,920984,2097152,1,true,full
UC3,std,DB1,512,14,setup,228.155,54810352,0,0,false,full
UC3,std,DB1,512,14,precomp,0.001,0,0,0,false,full
UC3,std,DB1,512,14,encrypt,14.135,7139128,0,0,false,full
UC3,std,DB1,512,14,eval,268.737,52191448,0,0,false,full
UC3,std,DB1,512,14,decrypt,8.262,6306136,4194304,1,true,full
UC3,std_modsw,DB1,512,14,setup,233.944,68465888,0,0,false,full
UC3,std_modsw,DB1,512,14,precomp,0.000,0,0,0,false,full
UC3,std_modsw,DB1,512,14,encrypt,12.776,7139128,0,0,false,full
UC3,std_modsw,DB1,512,14,eval,270.422,52191448,0,0,false,full
UC3,std_modsw,DB1,512,14,decrypt,12.743,6046712,2097152,1,true,full
UC3,label,DB1,512,14,setup,234.289,70303976,0,0,false,full
UC3,label,DB1,512,14,precomp,0.001,0,0,0,false,full
UC3,label,DB1,512,14,encrypt,14.662,12598352,0,0,false,full
UC3,label,DB1,512,14,eval,344.371,21527808,0,0,false,full
UC3,label,DB1,512,14,decrypt,6.446,920984,2097152,1,true,full
