use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct,param_profile
UC4,std,DB1,512,1,setup,245.349,65322568,0,0,false,full
UC4,std,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,1,encrypt,13.385,7139128,0,0,false,full
UC4,std,DB1,512,1,eval,286.716,52191448,0,0,false,full
UC4,std,DB1,512,1,decrypt,9.244,4860792,4194304,1,true,full
UC4,label_compact,DB1,512,1,setup,213.646,72415952,0,0,false,full
UC4,label_compact,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,1,encrypt,17.285,12598624,0,0,false,full
UC4,label_compact,DB1,512,1,eval,262.400,85637488,0,0,false,full
UC4,label_compact,DB1,512,1,decrypt,19.042,-1570224,7340032,1,true,full
UC4,label_compact_max,DB1,512,1,setup,219.555,56387712,0,0,false,full
UC4,label_compact_max,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,label_compact_max,DB1,512,1,encrypt,15.558,12598416,0,0,false,full
UC4,label_compact_max,DB1,512,1,eval,397.459,48185352,0,0,false,full
UC4,label_compact_max,DB1,512,1,decrypt,22.780,22450688,10485760,1,true,full
UC4,label_compact_mb,DB1,512,1,setup,215.265,51134592,0,0,false,full
UC4,label_compact_mb,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,label_compact_mb,DB1,512,1,encrypt,18.006,11968736,0,0,false,full
UC4,label_compact_mb,DB1,512,1,eval,260.732,24155568,0,0,false,full
UC4,label_compact_mb,DB1,512,1,decrypt,20.442,-1570688,7340032,1,true,full
UC4,label_cf_scalar,DB1,512,1,setup,12.619,5508896,0,0,false,full
UC4,label_cf_scalar,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,label_cf_scalar,DB1,512,1,encrypt,28.016,14462840,0,0,false,full
UC4,label_cf_scalar,DB1,512,1,eval,13.446,21134016,0,0,false,full
UC4,label_cf_scalar,DB1,512,1,decrypt,8.561,14967808,4194304,1,true,full
UC4,std,DB1,512,2,setup,241.005,73718640,0,0,false,full
UC4,std,DB1,512,2,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,2,encrypt,13.294,7139128,0,0,false,full
UC4,std,DB1,512,2,eval,285.834,54298616,0,0,false,full
UC4,std,DB1,512,2,decrypt,9.146,6309192,4194304,1,true,full
UC4,label_compact,DB1,512,2,setup,216.030,72145888,0,0,false,full
UC4,label_compact,DB1,512,2,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,2,encrypt,15.379,12598384,0,0,false,full
UC4,label_compact,DB1,512,2,eval,260.756,85637472,0,0,false,full
UC4,label_compact,DB1,512,2,decrypt,21.367,-1570336,7340032,1,true,full
