use_case,variant,db_label,n,run_id,phase,elapsed_ms,heap_b,comm_bytes,rounds,correct,param_profile
UC4,std,DB1,512,1,setup,257.287,65322376,0,0,false,full
UC4,std,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,1,encrypt,13.767,7139128,0,0,false,full
UC4,std,DB1,512,1,eval,275.975,52191448,0,0,false,full
UC4,std,DB1,512,1,decrypt,8.576,4860792,4194304,1,true,full
UC4,label_compact,DB1,512,1,setup,211.762,72416176,0,0,false,full
UC4,label_compact,DB1,512,1,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,1,encrypt,14.688,12598304,0,0,false,full
UC4,label_compact,DB1,512,1,eval,258.219,65274016,0,0,false,full
UC4,label_compact,DB1,512,1,decrypt,22.771,16675640,7340032,1,true,full
UC4,std,DB1,512,2,setup,244.474,70304696,0,0,false,full
UC4,std,DB1,512,2,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,2,encrypt,13.037,7139128,0,0,false,full
UC4,std,DB1,512,2,eval,284.798,52191448,0,0,false,full
UC4,std,DB1,512,2,decrypt,7.696,4860792,4194304,1,true,full
UC4,label_compact,DB1,512,2,setup,217.876,72145664,0,0,false,full
UC4,label_compact,DB1,512,2,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,2,encrypt,14.787,12598544,0,0,false,full
UC4,label_compact,DB1,512,2,eval,261.395,85637600,0,0,false,full
UC4,label_compact,DB1,512,2,decrypt,17.031,4733968,7340032,1,true,full
UC4,std,DB1,512,3,setup,235.091,63212912,0,0,false,full
UC4,std,DB1,512,3,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,3,encrypt,13.496,7139128,0,0,false,full
UC4,std,DB1,512,3,eval,277.846,52191448,0,0,false,full
UC4,std,DB1,512,3,decrypt,10.765,137456,4194304,1,true,full
UC4,label_compact,DB1,512,3,setup,220.473,51267528,0,0,false,full
UC4,label_compact,DB1,512,3,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,3,encrypt,15.525,12598400,0,0,false,full
UC4,label_compact,DB1,512,3,eval,268.185,65274224,0,0,false,full
UC4,label_compact,DB1,512,3,decrypt,17.896,16679560,7340032,1,true,full
UC4,std,DB1,512,4,setup,246.151,54281280,0,0,false,full
UC4,std,DB1,512,4,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,4,encrypt,12.730,7139128,0,0,false,full
UC4,std,DB1,512,4,eval,276.509,52191448,0,0,false,full
UC4,std,DB1,512,4,decrypt,8.720,-2226240,4194304,1,true,full
UC4,label_compact,DB1,512,4,setup,208.728,72145776,0,0,false,full
UC4,label_compact,DB1,512,4,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,4,encrypt,14.197,12598480,0,0,false,full
UC4,label_compact,DB1,512,4,eval,255.371,65273808,0,0,false,full
UC4,label_compact,DB1,512,4,decrypt,19.217,16675624,7340032,1,true,full
UC4,std,DB1,512,5,setup,232.912,70304568,0,0,false,full
UC4,std,DB1,512,5,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,5,encrypt,12.684,7139128,0,0,false,full
UC4,std,DB1,512,5,eval,273.079,54298568,0,0,false,full
UC4,std,DB1,512,5,decrypt,9.633,-2226368,4194304,1,true,full
UC4,label_compact,DB1,512,5,setup,205.945,62168672,0,0,false,full
UC4,label_compact,DB1,512,5,precomp,0.001,0,0,0,false,full
UC4,label_compact,DB1,512,5,encrypt,14.312,12598464,0,0,false,full
UC4,label_compact,DB1,512,5,eval,260.388,65262240,0,0,false,full
UC4,label_compact,DB1,512,5,decrypt,20.300,16676296,7340032,1,true,full
UC4,std,DB1,512,6,setup,239.492,68465888,0,0,false,full
UC4,std,DB1,512,6,precomp,0.000,0,0,0,false,full
UC4,std,DB1,512,6,encrypt,12.953,7139128,0,0,false,full
UC4,std,DB1,512,6,eval,273.993,52191512,0,0,false,full
UC4,std,DB1,512,6,decrypt,9.933,-2226240,4194304,1,true,full
UC4,label_compact,DB1,512,6,setup,204.725,51134688,0,0,false,full
UC4,label_compact,DB1,512,6,precomp,0.000,0,0,0,false,full
UC4,label_compact,DB1,512,6,encrypt,14.708,12598384,0,0,false,full
